text,label
【淘宝】~亲，您关注的店铺“XX潮牌”上新啦，全场8折起，快来看看有没有你喜欢的！,低优先级/垃圾
"【招商银行】您尾号8841的储蓄卡15:32入账人民币 5,200.00元，摘要：工资。当前余额 15,831.50元。",高优先级
"【交通银行】尊敬的客户，您的信用卡账单已生成，本期应还款2,846.50元，最后还款日为11月25日，请及时还款以免产生逾期费用。",中优先级
HR：温馨提醒：本周五为提交周报的截止日期，请各位同事不要忘记在Confluence上更新。,中优先级
iCloud：您的iCloud储存空间已满。为继续使用iCloud照片和备份，请升级您的储存空间方案。,中优先级
~系统~ | 存储空间严重不足，可能会影响手机正常使用。请立即清理不必要的文件和应用。,中优先级
QQ群(峡谷开黑冲分)：管理员-阿杰：今晚有人上线打团吗？8点准时集合，来的扣1。,低优先级/垃圾
【系统】存储空间严重不足。您的手机剩余空间已低于10%，部分系统功能可能无法正常使用，请立即清理。,中优先级
日程提醒 · 10分钟后开始 | 项目周会 | 地点：线上会议室 A (链接已在详情中)。请准时参加。,高优先级
京东物流：[投递异常] 您购买的商品(订单987...210)因地址无人接收投递失败，我们将于明天再次尝试派送。如需改约请联系快递员。,高优先级
【中国建设银行】您尾号1024的信用卡已成功消费人民币39.90元。如有疑问请致电95533。,高优先级
妈妈：晚上回家吃饭吗？我炖了你爱喝的排骨汤。,中优先级
【系统更新】检测到 HarmonyOS 4.2 新版本，优化了系统性能和续航表现，建议您在WLAN环境下更新。,中优先级
企业微信~老板：@所有人 下午三点的会提前到两点半，会议材料我发群里了，大家提前看一下。,中优先级
顺丰速运 - 快递员 小王（185****1234）正在为您派送快件SF123456789，预计30分钟内送达，请保持电话畅通。📦,中优先级
QQ: 群“爱吃的小分队”(356)发布了新公告： “周末剧本杀活动，还差2人，想参加的私聊我报名！”，点击查看详情。,低优先级/垃圾
【中国移动】🔥5G套餐大升级！每月加10元，流量翻倍，再送视频会员！详询10086或戳 a.10086.cn/cdefg,低优先级/垃圾
"【工商银行】您尾号3095的信用卡本期账单已出，应还金额¥3,450.80，最后还款日12月15日。",中优先级
Apple ID：您的 Apple ID 已于刚刚在一台新的 Windows 设备上登录。如果这不是您本人操作，请立即前往 appleid.apple.com 重设密码。,中优先级
支付宝安全中心：检测到您的账户于 21:48 在一台新设备(iPhone 14 Pro)上登录。如非本人操作，请立即修改密码。,高优先级
Apple ID 安全码：823051 是您登录 iCloud 的验证码，请勿告知他人。该码将在 10 分钟内失效。,高优先级
QQ：群“相亲相爱一家人”(3)中，@妈妈 提到了你：“@你儿子 快回来吃饭”。,中优先级
人事: 【通知】关于2024年端午节放假安排的通知已发布至公司公告，请大家查阅。,中优先级
[电话] 您有1个来自“老板”的未接来电（今天 09:15）。请及时回电。,高优先级
飞书：日报提醒：今天是2023年11月22日，别忘了提交今天的工作日报哦。,中优先级
[未接来电] 您有1个来自 139****1234 (妈妈) 的未接来电，时间：刚刚。,高优先级
【美团】周末特惠！5折美食券限时抢，给你的周末加点料！🔥 点击查看你附近的优惠餐厅>>,低优先级/垃圾
"【建设银行】尊敬的客户，您的信用卡（尾号6188）本期账单￥3,450.50，最后还款日为12月5日，请及时还款。",中优先级
[微信支付] 您尾号为1024的银行卡向商家支付成功，金额¥19.90。3分钟前。,高优先级
日历 | 提醒：15分钟后开始 “Q3产品规划评审会”。会议地点：3号会议室。,高优先级
钉钉日程：【重要】Q4季度复盘会，今天 14:30 在3号会议室，请准时参加。,高优先级
QQ | 技术交流群(231)：求助，这个bug有人遇到过吗？[图片],中优先级
🔥5G套餐大放价！每月仅需59元享100GB高速流量和500分钟通话，点此链接立即升级，畅享极速网络！ https://10086.cn/promo,低优先级/垃圾
"【中国建设银行】您尾号1109的信用卡成功还款人民币3,450.80元。当前额度已恢复。",高优先级
[钉钉] | 审批提醒 | 您有一条来自“张三”的请假申请（事假-2天）待审批，请在今天下班前处理。,中优先级
【企业微信】日报提醒：今天的工作日报尚未提交，请在 20:00 前完成并提交。,中优先级
邮件：主题：Re: 关于第四季度预算方案的初步想法 | 李经理：收到，我看下文档，下午我们开个短会过一下。,中优先级
【招商银行】您尾号6821的储蓄卡于11月25日 08:15支出(快捷支付)人民币98.00元，交易对手：饿了么。如有疑问请询95555。,高优先级
飞书日历：日程提醒：【项目周会】将在 10 分钟后于“会议室301”开始。,高优先级
[招商银行] 尊敬的客户，您的信用卡账户刚刚发生一笔消费人民币-88.50元，交易地点：星巴克。详情请登录掌上生活App查看。,高优先级
日历：日程提醒：“下午3点 项目评审会” 即将在一小时后开始。地点：3号会议室。,高优先级
Steam：您的登录验证码是 5KFG8。这是登录帐户 a***b 所需的安全码。,高优先级
钉钉 - 行政通知: 人事部发布了新公告：“关于2024年元旦放假安排的通知”，请及时查看详情。,中优先级
【顺丰速运】您的快件(SF123456789)正在派送中，派件员：王师傅，电话139********。请保持电话畅通，准备收件。📦,中优先级
钉钉: HR：【通知】关于2024年端午节放假安排的通知已发布，请各位同事在“公告”中查阅，并提前安排好工作。,中优先级
顺丰速运：快件(SF10086...99)派送异常提醒：因收件地址无人，派送员稍后将再次联系您，您也可在线改约时间。,中优先级
【B站】您的验证码是 882514，5分钟内有效，请勿泄露。,高优先级
老板：那个客户的方案下午3点前必须发给我，非常紧急！,高优先级
电话 | 您有1个来自“妈妈”的未接来电，回拨号码 139****1122。刚刚。,高优先级
顺丰速运：【派件异常】您好，快件SF10086...因联系不上您，暂时无法派送。快递员稍后将再次尝试，或请您回电189****1234。📦,高优先级
【顺丰速运】每月寄件福利来啦！免费领取一张6元寄件优惠券，新用户首单立减8元！,低优先级/垃圾
【建设银行】尊敬的客户，您的“龙卡星期六”优惠券已到账！本周六在指定商户消费满100减50，点击 t.cn/AbCdEf 查看详情，退订回T,低优先级/垃圾
Google 安全提醒：刚刚有一台新的 Windows 设备登录了您的帐号(test***@gmail.com)。不是您本人操作？请立即检查活动。,中优先级
【淘宝】| 直播预告 | 您关注的“小米官方旗舰店”今晚8点准时开播，新品手机发布，红包雨不停！,低优先级/垃圾
人事：各位同学，下午6点前别忘了提交今天的日报哦🙂。,中优先级
iPhone 存储空间几乎已满 - 您可以在“设置”中管理您的储存空间。,中优先级
《原神》：亲爱的旅行者，4.2版本「罪人舞步旋」现已开启！新的冒险等待着你！,低优先级/垃圾
企业微信 - [审批] 您提交的“出差申请-北京”已通过，审批人：王经理。,中优先级
【12306】乘车提醒：您预订的G123次列车（北京南-上海虹桥）将于今天14:00发车，请您合理安排时间，凭购票证件提前到站候车。,高优先级
京东物流：【投递异常】您的订单 987...654 因联系不上您而投递失败，快递员明天会再次尝试。,中优先级
网易云音乐：🔥周杰伦新歌限时听！升级黑胶VIP，畅享全部曲库，首月仅需8元！不要错过！,低优先级/垃圾
【原神】亲爱的旅行者，《原神》4.7版本“纺织始久远的梦”现已上线，全新角色克洛琳德、希格雯登场！立即更新，领取600原石奖励！,低优先级/垃圾
【携程旅行】登机提醒：尊敬的旅客，您预订的HU7605航班（北京-上海）将于今天 14:20 起飞，建议您在 13:40 前完成安检。祝您旅途愉快！🛫,高优先级
技术部-攻坚群：@全体成员 今晚服务器需要紧急维护升级，预计23:00-24:00期间服务会中断，请提前通知用户。,中优先级
原神: 亲爱的旅行者，「神铸赋形」活动祈愿即将开启！限定五星武器「苇海信标」概率UP！即刻登录查看详情！,低优先级/垃圾
【电话】您有2个未接来电，来自“老板”。昨天 22:15,高优先级
【钉钉】审批提醒：您提交的“请假申请-事假”已被驳回，驳回理由：项目紧急，请调整时间。详情请点击查看。,中优先级
菜鸟: 您的快递已由「丰巢」快递柜代收，取件码：A3-198865。请凭码取件，超时将产生费用。,中优先级
Apple ID：您的 Apple ID 验证码是：725019。请勿与任何人分享此验证码。,高优先级
【京东物流】签收通知：您的订单(119823*****)已由本人签收。感谢您在京东购物，期待您的再次光临！,中优先级
【Google】您的验证码是 759021。请勿将此验证码透露给任何人。此码将在5分钟内失效。,高优先级
"【交通银行】您尾号为1990的信用卡已成功还款人民币3,500.00元，当前账单已结清。",高优先级
菜鸟：您的包裹 (尾号7749) 已由“幸福小区北门菜鸟驿站”代收，请凭取件码 8-23-5588 及时领取。📦,中优先级
《原神》2.8版本「夏日！海岛？大冒险！」现已开启！全新角色、限定活动等你体验，登录即送原石*300！,低优先级/垃圾
【支付宝】你的花呗账单日提醒：本月账单￥2145.60，最后还款日为下月9号，记得按时还款哦。,高优先级
【淘宝】您关注的店铺“小米官方旗舰店”上新啦！Redmi K70系列限时优惠200元，立即抢购>>,低优先级/垃圾
【中国联通】流量告急！您本月套餐内高速流量仅剩100MB，超出后将降速。立即订购加油包恢复高速>> u.10010.cn/...,中优先级
[抖音] 您的登录验证码是 845129，10分钟内有效，请勿告知他人。,高优先级
"【招商银行】您尾号8841的储蓄卡11月10日 15:32入账人民币 5,200.00元，活期余额10,850.50元。",高优先级
[电话] 您有1个来自+86138********的未接来电（3分钟前）。,高优先级
【原神】游戏版本更新通知。《原神》4.2版本“正义的酬报”现已开放预下载，请及时更新以获得最佳游戏体验。,中优先级
微信支付：支付凭证。您向“便利蜂”成功支付 ¥25.50。3分钟前,高优先级
【京东物流】派送异常：很抱歉，由于天气原因（暴雨），您的订单(198837261)预计将延迟1-2天送达，敬请谅解。,中优先级
【京东】618狂欢倒计时！百亿补贴会场，iPhone直降千元，还有海量红包雨等你来抢！立即参与>> jd.com/123,低优先级/垃圾
携程旅行: 航班动态提醒 ✈️ 您预订的CZ3101(广州-北京)今日18:00起飞，已开放值机，请尽快办理。,高优先级
您有 1 个来自 138******** 的未接来电（刚刚）。,高优先级
技术交流群 (28)：@所有人 今晚8点有关于大模型微调技术的分享，欢迎大家参加。会议链接：https://meeting.com/xxx,中优先级
🎉淘宝双11狂欢开启！您购物车里的宝贝正在降价，超多红包雨、跨店满减，错过等一年！立即抢购>> https://s.tb.cn/xxxx,低优先级/垃圾
[美团外卖] 您的20元专享美食红包已到账！🍟 夜宵神券，限今晚24点前使用，超多品牌可用，速来下单！https://meituan.com/promo/xxxx,低优先级/垃圾
【招商银行】尊敬的客户，诚邀您体验我行“随心分”业务，账单分期享超低费率，资金周转更轻松！详情戳 t.cn/AbCdEfG 回T退订,低优先级/垃圾
Apple：iCloud 储存空间已满。您的 5GB 储存空间已用完，照片、文件和邮件将不会备份。,中优先级
【建设银行】尊敬的客户，您的账户于22:05在境外尝试一笔$1200.00的消费，可能存在风险，交易已拒绝。非本人操作请立即致电95533。,高优先级
【美团】您的5元无门槛外卖红包即将过期，超多美食正在等您！戳我下单-> meituan.com/hongbao,低优先级/垃圾
原神：派蒙的问候！3.2版本「虚空鼓动，劫火高扬」现已开启！全新角色和剧情等你探索，登录领取600原石！,低优先级/垃圾
携程旅行：航班起飞提醒，您预订的HU7801航班（北京-三亚）将于今天 19:30 起飞，请您尽快前往北京大兴机场办理登机手续，祝您旅途愉快。,高优先级
【华为钱包】风险提示：您的银行卡(尾号3308)正在尝试绑定至一台新设备，若非本人操作，请立即冻结卡片并联系银行。,高优先级
"【招商银行】您尾号8841的储蓄卡11月15日 14:30支出人民币1,288.00元，摘要：消费。若非本人操作，请立即致电95555。",高优先级
您有一个来自 +86138****1234 的未接来电。,高优先级
【原神】亲爱的旅行者，版本更新维护已完成，登录即可领取600原石补偿奖励！祝您游戏愉快！,低优先级/垃圾
钉钉 | 会议变更提醒：原定于今天 14:00 的「Q4产品复盘会」已延期至 16:00，会议室不变。请周知。,中优先级
日历提醒: 航班 CA1501 (北京-上海) 将于 2 小时后（今天 19:30）起飞，请及时前往登机口。,高优先级
【拼多多】您的好友给您发来一个现金大红包，快来领取，24小时内有效！ 🧧 https://pdd.net/s/xxxxx,低优先级/垃圾
B站：您关注的UP主“硬核拆解君”发布了新视频：《2024年旗舰手机横评，谁是真机皇？》,低优先级/垃圾
【招商银行】尊敬的客户，邀您体验我行高端白金信用卡，享机场贵宾厅、积分兑换里程等多重礼遇！即刻申请，赢取丰厚好礼！详情戳 a.cmbchina.com/F3k2,低优先级/垃圾
【飞书】审批通知：张三 发起的“采购申请-显示器”已通过。处理人：王五。,中优先级
系统存储空间 - 您的手机存储空间即将用尽（剩余不足500MB），部分系统功能可能无法正常使用。请及时清理。,中优先级
【拼多多】就差你了！你的好友正在邀请你助力，免费拿iPhone 15 Pro Max！快来帮TA点一下！,低优先级/垃圾
"【安全中心】账号登录提醒：您的账号 ""user@example.com"" 于 3分钟前 在一台新的 Windows 设备上登录。如果不是您本人操作，请立即修改密码。",高优先级
【飞书会议】日程提醒：项目周会将于 今天 10:00 在会议室301开始，请准时参加。会议链接：https://feishu.cn/mee/xyz,高优先级
【饿了么】您的外卖订单【芝士牛肉堡套餐】骑手已取餐，预计还有5分钟送达，请准备取餐！🍕,高优先级
~中国移动~ 尊敬的用户，您正在办理业务，动态码为559302，请勿泄露。,高优先级
钱包：您的手机存储空间即将耗尽（剩余1.2GB），部分系统功能可能无法正常使用，请及时清理。,中优先级
菜鸟 - 包裹已到站！您的快递已放入菜鸟驿站，请凭取件码【3-4-5566】及时领取。,中优先级
【工商银行】您正在进行转账操作，动态码为654821，2分钟内有效，严禁转发。,高优先级
工商银行：动态码 459033，您正在办理转账业务，金额2000.00元。请勿泄露。,高优先级
【京东物流】很抱歉，由于道路结冰，您的订单(123456789)预计将延迟1-2天送达。我们将尽快为您配送，感谢您的理解。,中优先级
【支付宝】您于11月05日 10:15在“美团外卖”消费支出¥28.50，交易成功。,高优先级
【中国移动】5G新春特惠！每月仅需39元，尊享80GB全国流量+200分钟通话时长，回复“我要办理”即可升级！退订回T,低优先级/垃圾
【抖音】您的登录OTP为 199-382，5分钟内有效。切勿告知他人。,高优先级
张三：在吗？下午三点的会议材料你准备得怎么样了？我这边有几个数据需要跟你核对一下。,中优先级
【顺丰速运】寄件优惠券到！邀请新朋友用顺丰下单，您和好友均可得8元寄件券，多邀多得！,低优先级/垃圾
【京东】您有一张20元全品类优惠券即将过期，点击立即使用，超多好物等你来挑！>>,低优先级/垃圾
美团外卖：【神券到账】您有一张20-5元美食通用红包即将过期，速来使用！,低优先级/垃圾
【菜鸟】您的包裹已放入XX小区3栋菜鸟驿站，凭取件码 8-1234 今日20点前取。超时将可能产生保管费。,中优先级
【抖音】验证码 1105 用于登录，10分钟内有效。切勿告知他人，谨防诈骗。,高优先级
【携程旅行】✈️您的航班CZ3101（广州-北京）即将于明天08:00起飞，请最晚于07:15前到达机场办理登机手续。,高优先级
"【建设银行】尊敬的客户，您的信用卡账单日为每月15日，本期账单金额1,578.20元，最后还款日为下月5日，请及时还款。",高优先级
微信支付：您收到一笔转账，金额¥500.00，来自“张三”，已存入您的零钱。,高优先级
【微信支付】收款到账 100.00 元,高优先级
QQ - 相亲相爱一家人(23): 妈妈：[表情] 帮忙砍一刀，就差你了！拼多多领现金，真实有效！[链接],低优先级/垃圾
【原神】新版本「蔷薇与铳枪」现已上线！限定五星角色“娜维娅”登场，快来提瓦特大陆体验全新剧情！,低优先级/垃圾
【微信安全中心】微信账号于 22:15 在一台新的Windows设备登录。如果这不是你的操作，你的密码可能已泄露。,高优先级
京东物流：【派送提醒】您的订单(1988...)正在由快递员“李师傅”派送中，预计今天14:30前送达，请保持电话畅通。,中优先级
【Apple ID】您的验证码是：749281。请勿将验证码泄露给任何人。此代码将在10分钟后失效。,高优先级
淘宝：【已发货】您购买的“XX牌充电宝”已由圆通快递揽收，运单号YT598237...，点此查看物流详情。,中优先级
【中国移动】5G套餐大升级！每月加10元，流量翻倍，再送100分钟通话！回复“SJ”立即办理，畅享极速网络！,低优先级/垃圾
小红书 - “周末去哪玩”：姐妹们！发现一个超宝藏的露营地，人少景美，赶紧码住！,低优先级/垃圾
未接来电：您有 1 个来自 +86 186****5678 的未接来电。 刚刚,高优先级
【安全提醒】您的微信账号于 22:08 在一台新的Windows设备上登录。如果这不是您本人的操作，您的密码可能已泄露。,中优先级
【中国联通】温馨提示：截至今日18:00，您本月套餐内高速流量仅剩1.02GB，超出后将限速。回复 10010 了解流量加油包。,中优先级
【QQ群助手】群聊“相亲相爱一家人”有15条新消息。,低优先级/垃圾
"QQ：[群消息] ""相亲相爱一家人""群：妈妈 分享了一个链接 [养生必看！这几种食物千万不能一起吃！]",低优先级/垃圾
"【支付宝】您的花呗账单已出，本月应还2,345.50元，最后还款日为下月9号，请按时还款以免影响信用。",高优先级
[顺丰速运] 您的快件(SF1029384756)已由本人签收。感谢您使用顺丰速运，期待再次为您服务！📦,中优先级
【Apple ID】您的 Apple ID 验证码是：821457。请勿与他人分享此验证码。,高优先级
顺丰速运: 寄件有好礼！现在下单寄大件，即享8折优惠，还有机会赢取iPhone 15 Pro！快来参与吧！,低优先级/垃圾
"【招商银行】您尾号6821的储蓄卡账户09:32收入人民币(CNY)5,000.00元，活期余额12,850.50元。",高优先级
企业微信 > 产品部-项目群：@所有人 请大家今天下班前完成本周周报的填写，谢谢配合。,中优先级
微信 - 大学同学群(15)：@王伟 周末有空一起出来打球吗？,中优先级
[Google] Your Google verification code is: 734-918. Don't share it with anyone else.,高优先级
【小红书】恭喜！你的笔记《周末探店Vlog》被评为精选内容，获得了1000+流量曝光！快去看看吧～🙂,低优先级/垃圾
QQ - 原神玩家开黑群(3/99)：[链接] 快来帮我砍一刀！拼多多现金大转盘，就差你一人了！助力成功你也能领！,低优先级/垃圾
"微信支付: [交易提醒] 您的账户刚刚收到一笔转账，金额¥5,000.00。",高优先级
[原神] 亲爱的旅行者，《原神》4.7版本“纺织命运的轮回”现已上线！全新角色克洛琳德、希格雯登场，快来提瓦特大陆体验全新冒险吧！,低优先级/垃圾
【携程旅行】[航班动态]尊敬的旅客，您预订的HU7801(北京-三亚)因飞机晚到，预计延误至18:30起飞，请您随时关注机场广播。,高优先级
【Apple ID】您的 Apple ID 验证码是：748201。此验证码将在10分钟后失效，请勿与任何人分享。,高优先级
【中国联通】温馨提示：截至今日18:00，您本月套餐内高速流量仅剩不足500MB，超出后将降速。,中优先级
【中国建设银行】龙卡星期六，优惠享不停！每周六在指定商户使用建行信用卡消费，满100减50！活动详情请见 ccbt.cn/2023act,低优先级/垃圾
【微信支付】风险提醒：系统监测到您的账户存在异常登录尝试，为保障资金安全，已暂时限制部分功能。请确认是否为本人操作。,高优先级
【携程旅行】尊敬的旅客，您预订的航班 CZ3101 (广州-北京) 明早08:00起飞，现已开放网上值机。建议您提前2小时到达机场。,高优先级
【Steam】您的登录验证码为 F8G7H，此动态码在10分钟内有效。,高优先级
淘宝：年中大促狂欢开启！万千好物不止5折，跨店每满300减50，更有超大红包雨等你来抢！立即打开App查看你的专属会场>> https://m.taobao.com/,低优先级/垃圾
【中国电信】您正在办理业务，OTP安全码为551029，请勿透露给他人，10分钟内有效。,高优先级
"日历提醒: ""下午3点-项目复盘会"" 即将在10分钟后开始。会议地点：3号会议室。",高优先级
企业微信 - HR：你提交的“2024年5月-报销申请”已通过审批。,中优先级
【中国建设银行】办理龙卡信用卡分期，享手续费6折优惠！账单轻松还，资金更灵活。回复88查询详情。,低优先级/垃圾
[Google] G-998127 是您的 Google 验证码。此 code 5 分钟内有效。,高优先级
【中通快递】您的快件(758123456789)已由“本人”签收，感谢您使用中通快递！期待再次为您服务！,中优先级
【原神】旅行者，版本更新现已可用！新的冒险正在等待着你，立即登录游戏领取600原石更新奖励！,低优先级/垃圾
电话：您有1个来自“张三”的未接来电。3分钟前,中优先级
QQ特别关心 | 您的好友“小明”发表了新说说：“终于放假了，开心！”,中优先级
【菜鸟】您的快递已由「蜂巢」代收，取件码4-135821。请凭码取件，如有问题联系派件员。📦,中优先级
【中国移动】5G特惠来袭！升舱5G，畅享极速网络！现在办理5G融合套餐，即送200元话费和千兆宽带，回复‘5G’了解详情。退订回T,低优先级/垃圾
建设银行：想装修？想买车？建行“快贷”最高30万额度，线上申请秒批，年化利率低至3.85%，详情咨询网点。,低优先级/垃圾
